Date,Close,Open,High,Low,Volume,Change %,SMA_50,SMA_200,BB_Upper,BB_Lower,RSI
2025-01-10 07:00:00,74.85,73.39,75.18,72.33,2843000.0,1.89%,73.21799999999999,74.6388,75.41329663806044,72.61870336193954,100.0
2025-01-10 08:00:00,74.85,73.39,75.18,72.33,2843000.0,1.89%,73.27159999999999,74.6371,75.50446144378401,72.66653855621598,100.0
2025-01-10 09:00:00,74.85,73.39,75.18,72.33,2843000.0,1.89%,73.3252,74.6354,75.58110990939777,72.72889009060223,100.0
2025-01-10 10:00:00,74.85,73.39,75.18,72.33,2843000.0,1.89%,73.3788,74.6337,75.64346144378405,72.80553855621594,100.0
2025-01-10 11:00:00,74.85,73.39,75.18,72.33,2843000.0,1.89%,73.4324,74.632,75.6912966380605,72.89670336193946,100.0
2025-01-10 12:00:00,74.85,73.39,75.18,72.33,2843000.0,1.89%,73.48599999999999,74.63029999999999,75.72392214810371,73.0030778518963,100.0
2025-01-10 13:00:00,74.85,73.39,75.18,72.33,2843000.0,1.89%,73.5396,74.6286,75.74005132182835,73.12594867817164,100.0
2025-01-13 00:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,74.89139999999999,74.3849,75.87923214268433,74.02776785731565,100.0
2025-01-13 01:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,74.9328,74.38980000000001,76.33126511328936,73.78273488671061,100.0
2025-01-13 02:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,74.9742,74.3947,76.67717885092434,73.64382114907563,100.0
2025-01-13 03:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,75.01559999999999,74.3996,76.96302015105277,73.56497984894722,100.0
2025-01-13 04:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,75.05699999999999,74.4045,77.20674326544179,73.5282567345582,100.0
2025-01-13 05:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,75.0984,74.4094,77.41747211236377,73.52452788763621,100.0
2025-01-13 06:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,75.1398,74.4143,77.60045240760839,73.54854759239161,100.0
2025-01-13 07:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,75.1812,74.41919999999999,77.75886621639305,73.59713378360695,100.0
2025-01-13 08:00:00,76.92,75.4,77.23,75.4,3069000.0,2.77%,75.2226,74.4241,77.89462963211085,73.66837036788914,100.0
