Datetime,Close,High,Low,Open,Volume,SMA_50,SMA_200,BB_Upper,BB_Lower,RSI
2024-01-12 20:00:00+00:00,2051.800048828125,2052.10009765625,2050.300048828125,2051.60009765625,3489,2038.5560083007813,2046.7450042724608,2062.9765676023335,2032.0234323976665,65.58618674199991
2024-01-12 21:00:00+00:00,2053.60009765625,2053.60009765625,2051.199951171875,2051.800048828125,1756,2039.0360107421875,2046.5970050048827,2063.315846860963,2033.2341653460687,64.885709582131
2024-01-14 23:00:00+00:00,2051.300048828125,2053.39990234375,2050.300048828125,2053.39990234375,2239,2039.4800122070312,2046.440005493164,2063.236171084342,2034.6338484469084,60.049797659146535
2024-01-15 00:00:00+00:00,2051.89990234375,2052.39990234375,2049.5,2051.39990234375,1779,2039.930009765625,2046.2890045166016,2063.015315422993,2036.244694342632,61.38617451367864
2024-01-15 01:00:00+00:00,2054.800048828125,2055.300048828125,2051.199951171875,2052.5,3998,2040.4440112304687,2046.1520050048828,2062.976192921803,2037.8838168438226,56.05644845158762
2024-01-15 02:00:00+00:00,2060.300048828125,2060.300048828125,2053.800048828125,2054.800048828125,5321,2041.0540112304689,2046.0230047607422,2063.7345394405315,2039.1454776493124,62.561561543503494
2024-01-15 03:00:00+00:00,2061.199951171875,2061.89990234375,2059.300048828125,2060.199951171875,3834,2041.6620092773437,2045.9040045166016,2064.1597155363197,2040.910291787899,61.0255222451062
2024-01-15 04:00:00+00:00,2058.300048828125,2061.39990234375,2057.39990234375,2061.199951171875,1841,2042.1860107421876,2045.804505004883,2064.1015692921887,2042.608440473436,45.97019276318186
2024-01-16 05:00:00+00:00,2052.0,2053.10009765625,2050.89990234375,2053.0,3200,2042.550009765625,2045.6800054931641,2063.4567599250095,2044.1332547234279,38.987335513100234
2024-01-16 06:00:00+00:00,2054.10009765625,2054.10009765625,2050.800048828125,2051.800048828125,2786,2042.9600122070312,2045.575005493164,2062.494293672059,2046.2357356248158,44.64291275075827
2024-01-16 07:00:00+00:00,2053.199951171875,2054.5,2051.60009765625,2054.0,4926,2043.3240112304688,2045.4440057373047,2062.446665136526,2046.5533592775369,50.43234762296755
2024-01-16 08:00:00+00:00,2046.699951171875,2053.89990234375,2045.699951171875,2053.10009765625,9587,2043.5380102539064,2045.3365057373046,2062.8011670476108,2045.8588427180139,47.814080072574946
2024-01-16 09:00:00+00:00,2045.0999755859375,2047.5999755859375,2042.4000244140625,2046.800048828125,8507,2043.700009765625,2045.1875061035157,2063.361055789332,2044.5489417692618,40.17357864841504
2024-01-16 10:00:00+00:00,2044.5999755859375,2046.300048828125,2042.800048828125,2045.0999755859375,5021,2043.8260083007813,2045.0530059814453,2062.8106581993934,2043.4593369177937,39.828193478207645
2024-01-16 11:00:00+00:00,2043.5999755859375,2044.800048828125,2041.699951171875,2044.5999755859375,4993,2043.9320068359375,2044.9215063476563,2062.1609225009415,2042.3990750576522,38.54743841104766
2024-01-16 12:00:00+00:00,2042.199951171875,2043.800048828125,2039.0999755859375,2043.5999755859375,8268,2044.0680053710937,2044.7845056152344,2061.899265215377,2041.0507225775914,33.89816481492976
2024-01-16 13:00:00+00:00,2041.300048828125,2048.89990234375,2034.5999755859375,2042.0,38027,2044.1780053710938,2044.6555053710938,2062.235957436759,2039.5540450046478,35.294117647058826
