Name,Date,Open,High,Low,Close,Volume
FT-SE100,19921022,2642.00,2681.00,2642.00,2658.00,0
FT-SE100,19921023,2663.00,2674.70,2661.50,2669.70,0
FT-SE100,19921026,2658.80,2667.00,2658.80,2661.60,0
FT-SE100,19921027,2668.40,2678.00,2667.40,2669.80,0
FT-SE100,19921028,2666.00,2666.00,2643.00,2650.00,0
FT-SE100,19921029,2639.10,2642.30,2637.40,2642.30,0
FT-SE100,19921030,2649.00,2660.00,2648.00,2658.00,0
FT-SE100,19921102,2661.60,2687.80,2661.20,2687.80,0
FT-SE100,19921103,2701.60,2706.70,2697.80,2705.60,0
FT-SE100,19921104,2702.00,2703.30,2691.60,2691.70,0
FT-SE100,19921105,2703.00,2713.30,2703.00,2711.10,0
FT-SE100,19921106,2705.10,2709.70,2702.60,2702.70,0
FT-SE100,19921109,2698.90,2698.90,2694.90,2695.40,0
FT-SE100,19921110,2711.90,2718.10,2711.90,2714.60,0
FT-SE100,19921111,2711.50,2711.50,2695.50,2696.80,0
FT-SE100,19921112,2733.30,2733.30,2724.80,2726.40,0
FT-SE100,19921113,2717.00,2718.00,2696.00,2697.00,0
FT-SE100,19921116,2688.00,2694.00,2678.00,2679.00,0
FT-SE100,19921117,2685.80,2686.10,2678.80,2679.20,0
FT-SE100,19921118,2683.50,2706.40,2681.10,2704.00,0
FT-SE100,19921119,2708.40,2711.90,2706.20,2706.20,0
FT-SE100,19921120,2702.10,2732.90,2702.00,2732.40,0
FT-SE100,19921123,2735.90,2737.10,2719.70,2722.90,0
FT-SE100,19921124,2710.40,2729.00,2709.40,2727.10,0
FT-SE100,19921125,2727.10,2765.00,2708.60,2709.60,0
FT-SE100,19921127,2739.80,2761.90,2739.80,2760.10,0
FT-SE100,19921130,2784.10,2784.10,2775.50,2778.80,0
FT-SE100,19921201,2778.80,2807.00,2775.50,2792.00,0
FT-SE100,19921202,2776.40,2776.40,2762.10,2774.70,0
FT-SE100,19921203,2768.40,2777.50,2768.20,2771.00,0
FT-SE100,19921204,2763.00,2766.90,2753.70,2759.40,0
FT-SE100,19921207,2774.00,2774.10,2751.80,2754.50,0
FT-SE100,19921208,2752.00,2769.90,2752.00,2769.80,0
FT-SE100,19921209,2751.80,2757.50,2749.40,2750.70,0
FT-SE100,19921210,2736.70,2737.10,2725.90,2726.50,0
FT-SE100,19921211,2715.10,2720.50,2714.30,2716.20,0
FT-SE100,19921214,2716.00,2721.90,2715.10,2721.80,0
FT-SE100,19921215,2722.50,2722.50,2716.50,2717.90,0
FT-SE100,19921216,2721.10,2732.90,2721.10,2732.80,0
FT-SE100,19921217,2741.80,2748.00,2738.40,2740.30,0
FT-SE100,19921218,2772.00,2789.70,2772.00,2789.70,0
FT-SE100,19921221,2795.50,2807.70,2795.50,2807.70,0
FT-SE100,19921222,2825.80,2845.60,2825.70,2842.00,0
FT-SE100,19921223,2842.00,2879.00,2818.90,2827.40,0
FT-SE100,19921224,2827.50,2827.50,2827.50,2827.50,0
FT-SE100,19921228,2827.50,2827.50,2827.50,2827.50,0
FT-SE100,19921229,2829.90,2848.90,2829.90,2847.80,0
FT-SE100,19921230,2831.50,2841.30,2831.50,2832.50,0
FT-SE100,19921231,2846.50,2846.50,2846.50,2846.50,0
FT-SE100,19930104,2846.10,2867.90,2846.10,2861.50,0
FT-SE100,19930105,2867.20,2867.20,2830.10,2833.60,0
FT-SE100,19930106,2829.00,2839.00,2823.00,2826.00,0
FT-SE100,19930107,2809.20,2822.40,2809.20,2816.50,0
FT-SE100,19930108,2812.30,2813.10,2797.90,2799.20,0
FT-SE100,19930111,2771.80,2775.20,2761.50,2773.40,0
FT-SE100,19930112,2774.00,2778.00,2757.00,2757.00,0
FT-SE100,19930113,2759.00,2768.00,2740.00,2745.00,0
FT-SE100,19930114,2766.60,2771.30,2759.10,2759.20,0
FT-SE100,19930115,2756.00,2765.10,2749.40,2765.10,0
FT-SE100,19930118,2758.90,2765.70,2758.30,2763.10,0
FT-SE100,19930119,2755.90,2757.10,2735.90,2737.60,0
FT-SE100,19930120,2741.80,2748.70,2734.70,2748.70,0
FT-SE100,19930121,2766.90,2773.70,2766.90,2773.30,0
FT-SE100,19930122,2793.70,2794.60,2781.20,2781.20,0
FT-SE100,19930125,2782.20,2782.20,2763.90,2771.90,0
FT-SE100,19930126,2826.70,2836.20,2826.50,2835.70,0
FT-SE100,19930127,2836.30,2836.70,2829.60,2832.50,0
FT-SE100,19930128,2816.20,2822.90,2816.20,2816.90,0
FT-SE100,19930129,2803.60,2811.00,2798.20,2807.20,0
FT-SE100,19930201,2821.00,2854.00,2821.00,2851.00,0
FT-SE100,19930202,2836.80,2842.40,2829.70,2834.40,0
FT-SE100,19930203,2849.10,2873.80,2848.10,2873.80,0
FT-SE100,19930204,2883.10,2900.10,2865.40,2865.90,0
FT-SE100,19930205,2861.60,2864.50,2853.60,2862.90,0
FT-SE100,19930208,2875.10,2881.10,2867.80,2870.00,0
FT-SE100,19930209,2837.70,2838.60,2823.00,2831.30,0
FT-SE100,19930210,2822.10,2822.10,2810.20,2816.40,0
FT-SE100,19930211,2838.40,2838.70,2827.40,2834.30,0
FT-SE100,19930212,2841.00,2854.80,2839.50,2843.00,0
FT-SE100,19930216,2840.00,2842.20,2808.00,2812.20,0
FT-SE100,19930217,2811.80,2820.80,2810.10,2814.00,0
FT-SE100,19930218,2823.00,2852.00,2823.00,2837.00,0
FT-SE100,19930219,2831.00,2845.00,2831.00,2840.00,0
FT-SE100,19930222,2834.90,2840.80,2834.80,2838.30,0
FT-SE100,19930223,2829.70,2852.00,2813.40,2818.00,0
FT-SE100,19930224,2818.40,2819.70,2814.50,2817.00,0
FT-SE100,19930225,2813.90,2829.00,2813.90,2828.70,0
FT-SE100,19930226,2860.20,2873.30,2860.10,2868.00,0
FT-SE100,19930301,2879.50,2884.10,2877.60,2882.60,0
FT-SE100,19930302,2875.00,2882.30,2874.50,2882.30,0
FT-SE100,19930303,2917.70,2922.00,2911.60,2918.60,0
FT-SE100,19930304,2907.20,2916.60,2902.50,2904.80,0
FT-SE100,19930305,2908.30,2923.60,2908.10,2922.10,0
FT-SE100,19930308,2928.30,2958.30,2928.30,2957.30,0
FT-SE100,19930309,2958.90,2959.70,2946.10,2949.90,0
FT-SE100,19930310,2948.20,2957.60,2948.00,2956.70,0
FT-SE100,19930311,2953.60,2956.90,2950.30,2953.40,0
FT-SE100,19930312,2920.00,2920.00,2904.80,2915.90,0
FT-SE100,19930315,2922.90,2923.80,2915.80,2922.40,0
FT-SE100,19930316,2922.40,2930.00,2908.30,2919.30,0
FT-SE100,19930317,2888.80,2891.40,2886.20,2889.90,0
FT-SE100,19930318,2894.50,2894.50,2879.60,2879.70,0
FT-SE100,19930319,2901.40,2903.60,2899.00,2900.10,0
FT-SE100,19930322,2867.60,2867.60,2858.70,2863.90,0
FT-SE100,19930323,2851.80,2863.70,2851.80,2861.10,0
FT-SE100,19930324,2855.70,2860.80,2853.40,2860.60,0
FT-SE100,19930325,2840.90,2852.80,2833.40,2852.80,0
FT-SE100,19930326,2857.20,2864.90,2852.70,2852.90,0
FT-SE100,19930329,2837.70,2846.90,2837.50,2846.50,0
FT-SE100,19930330,2854.30,2862.60,2854.30,2861.00,0
FT-SE100,19930331,2884.10,2884.70,2874.60,2878.70,0
FT-SE100,19930401,2883.00,2887.90,2878.40,2878.40,0
FT-SE100,19930402,2894.00,2894.20,2864.50,2869.90,0
FT-SE100,19930405,2838.50,2841.90,2835.10,2838.80,0
FT-SE100,19930406,2844.10,2845.20,2828.60,2832.20,0
FT-SE100,19930407,2803.90,2822.50,2800.60,2822.10,0
FT-SE100,19930408,2820.10,2821.80,2816.50,2821.80,0
FT-SE100,19930412,2821.80,2821.80,2821.80,2821.80,0
FT-SE100,19930413,2844.40,2848.00,2844.30,2846.80,0
FT-SE100,19930414,2846.90,2847.00,2838.30,2842.10,0
FT-SE100,19930415,2842.10,2854.00,2839.70,2839.70,0
FT-SE100,19930416,2826.10,2828.60,2817.10,2824.40,0
FT-SE100,19930419,2829.60,2844.00,2829.60,2830.00,0
FT-SE100,19930420,2843.70,2856.00,2843.70,2856.00,0
FT-SE100,19930421,2870.10,2870.30,2863.00,2869.60,0
FT-SE100,19930422,2876.40,2881.00,2872.00,2881.00,0
FT-SE100,19930423,2856.60,2857.40,2843.40,2843.80,0
FT-SE100,19930426,2831.00,2833.00,2822.00,2822.30,0
FT-SE100,19930427,2816.00,2832.70,2814.90,2832.70,0
FT-SE100,19930428,2815.20,2815.80,2787.10,2797.30,0
FT-SE100,19930429,2777.80,2792.80,2777.80,2786.80,0
FT-SE100,19930430,2803.20,2813.60,2803.10,2813.10,0
FT-SE100,19930503,2813.10,2813.10,2813.10,2813.10,0
FT-SE100,19930504,2821.20,2822.00,2812.00,2812.60,0
FT-SE100,19930505,2789.90,2796.50,2789.90,2796.50,0
FT-SE100,19930506,2788.80,2789.20,2783.90,2786.30,0
FT-SE100,19930507,2783.40,2793.70,2776.60,2793.70,0
FT-SE100,19930510,2811.70,2829.80,2811.50,2829.80,0
FT-SE100,19930511,2829.80,2836.10,2823.60,2836.10,0
FT-SE100,19930512,2858.90,2861.80,2853.80,2860.80,0
FT-SE100,19930513,2862.50,2862.50,2849.30,2849.30,0
FT-SE100,19930514,2839.90,2848.90,2839.70,2847.00,0
FT-SE100,19930517,2855.50,2858.70,2855.30,2858.10,0
FT-SE100,19930518,2859.40,2859.40,2845.90,2847.30,0
FT-SE100,19930519,2833.80,2834.80,2817.70,2819.70,0
FT-SE100,19930520,2831.60,2831.70,2814.60,2816.80,0
FT-SE100,19930521,2812.00,2813.70,2801.10,2812.20,0
FT-SE100,19930524,2809.00,2825.60,2808.80,2825.60,0
FT-SE100,19930525,2832.40,2837.70,2828.70,2837.70,0
FT-SE100,19930526,2837.70,2846.90,2837.00,2846.90,0
FT-SE100,19930527,2858.30,2860.00,2852.50,2855.30,0
FT-SE100,19930528,2855.30,2855.50,2838.90,2840.70,0
FT-SE100,19930601,2838.10,2849.20,2833.70,2849.20,0
FT-SE100,19930602,2866.80,2868.00,2863.00,2863.00,0
FT-SE100,19930603,2851.60,2857.80,2851.40,2852.80,0
FT-SE100,19930604,2840.90,2841.00,2829.80,2829.90,0
FT-SE100,19930607,2843.90,2849.80,2842.70,2844.80,0
FT-SE100,19930608,2843.70,2845.80,2842.40,2844.40,0
FT-SE100,19930609,2856.30,2868.20,2855.50,2866.90,0
FT-SE100,19930610,2858.10,2862.60,2857.70,2860.00,0
FT-SE100,19930611,2854.80,2864.80,2854.80,2861.80,0
FT-SE100,19930614,2886.90,2891.60,2882.80,2885.50,0
FT-SE100,19930615,2874.70,2876.90,2869.70,2870.00,0
FT-SE100,19930616,2883.30,2888.30,2880.80,2883.00,0
FT-SE100,19930617,2881.20,2881.20,2874.60,2875.70,0
FT-SE100,19930618,2883.20,2886.50,2879.00,2879.40,0
FT-SE100,19930621,2894.20,2903.40,2894.20,2903.40,0
FT-SE100,19930622,2913.60,2914.20,2905.30,2907.60,0
FT-SE100,19930623,2906.10,2906.30,2899.20,2900.70,0
FT-SE100,19930624,2893.90,2894.90,2890.10,2894.70,0
FT-SE100,19930625,2883.80,2889.00,2883.80,2887.50,0
FT-SE100,19930628,2899.20,2899.80,2894.20,2897.00,0
FT-SE100,19930629,2888.50,2888.50,2883.10,2886.00,0
FT-SE100,19930630,2890.90,2900.00,2890.50,2900.00,0
FT-SE100,19930701,2905.70,2906.50,2888.70,2888.80,0
FT-SE100,19930702,2869.90,2870.20,2857.00,2857.70,0
FT-SE100,19930706,2849.20,2849.20,2846.70,2848.10,0
FT-SE100,19930707,2832.90,2848.30,2832.90,2848.30,0
FT-SE100,19930708,2855.20,2859.40,2842.20,2845.90,0
FT-SE100,19930709,2854.20,2854.20,2843.10,2843.20,0
FT-SE100,19930712,2837.80,2851.40,2827.10,2830.90,0
FT-SE100,19930713,2832.70,2837.40,2832.60,2837.10,0
FT-SE100,19930714,2831.90,2832.30,2826.70,2832.30,0
FT-SE100,19930715,2834.40,2834.60,2830.20,2831.70,0
FT-SE100,19930716,2826.30,2833.00,2825.30,2833.00,0
FT-SE100,19930719,2844.50,2844.50,2838.20,2842.90,0
FT-SE100,19930720,2828.60,2831.90,2818.60,2823.90,0
